135 Airways,255,60,130,110,GNL
223rd Flight Unit State Airline,255,20,70,30,CHD
224th Flight Unit,255,190,190,50,TTF
32 (TR) Squadron RAF Northolt,255,130,140,70,NOH
34 Squadron Royal Australian Air Force,255,40,210,240,EVY
40-Mile Air,255,120,110,0,MLA
611897 Alberta,255,190,70,30,THD
A J Services,255,0,90,0,AJA
AAA - Air Alps Aviation,255,110,150,210,LPV
AAC - Angola Air Charter,255,0,60,140,AGO
Aalborg Airtaxi,255,30,0,230,DAX
AASANA,255,230,230,210,XXV
Aba Air,255,0,10,150,ABP
Abakan-Avia,255,0,10,60,ABG
ABAS,255,120,170,150,MRP
Abavia,255,10,210,250,BVZ
ABC Air Hungary,255,0,70,200,AHU
Abelag Aviation,255,0,0,10,AAB
Abidjan Air Cargo,255,0,30,90,ADJ
Aboitiz Air Transport,255,10,140,80,BOI
ABS Avia,255,60,150,180,GPS
ABSA - Aerolinhas Brasileiras,255,190,200,180,TUS
Absolute Kazakstan Company,255,0,100,250,AKZ
Abu Dhabi Amiri Flight,255,0,200,70,AUH
ACA-Ancargo Air Sociedade de Transporte de Carga,255,130,20,110,NCL
Academia Romana de Aviatie,255,170,50,190,RFT
Academy Airlines,255,0,20,30,ACD
AccessAir,255,20,240,30,CYD
ACEF - Transportes Aereos Cargas,255,20,50,120,CFM
ACM Air Charter,255,10,210,170,BVR
ACM Aviation,255,10,90,190,BJT
Acme,255,0,100,120,AKM
Acsunkar,255,0,100,200,AKU
Action Air,255,140,170,180,ORS
Action Airlines,255,0,230,160,AXQ
Active Aero Charter,255,0,210,170,AVR
Acvila Air,255,170,170,120,RRM
ACZ,255,0,20,250,ACZ
AD Aviation,255,210,200,40,VUE
Ada Air,255,0,30,40,ADE
ADC Airways,255,0,30,220,ADW
Ade Aviacion Deportiva,255,0,30,50,ADF
Adjaria,255,120,130,120,MNM
Adler Aviation,255,180,220,70,SWH
Adria Airways,255,0,30,170,ADR
Advance Air Charters,255,0,30,210,ADV
Advance Aviation Services,255,230,190,90,XTJ
Advanced Air,255,0,30,30,ADD
Adygeya Airlines,255,170,30,30,RDD
Adygeya Avia,255,120,100,150,MKP
Aebal,255,0,10,70,ABH
Aegean Airlines,255,0,40,40,AEE
Aer Arann,255,170,40,0,REA
Aer Lingus,255,40,80,130,EIN
Aer Sicilia,255,50,140,130,FON
Aer Turas,255,0,190,190,ATT
Aerea Flying Training Organization,255,0,30,60,ADG
Aerea Transportes Aereos del Pacifico,255,190,0,50,TAF
Aereosaba,255,40,180,10,ESB
Aereotaxis,255,190,230,80,TXI
AERFI Group,255,0,60,150,AGP
Aerial,255,0,10,50,ABF
Aerial Surveys,255,180,200,240,SUY
Aerial Transit Company,255,0,40,250,AEZ
Aeriantur-M,255,120,10,210,MBV
Aeris,255,0,80,180,AIS
Aermarche,255,120,120,20,MMC
Aermilenio,255,120,130,80,MNI
Aero 1 Prop-Jet,255,180,180,120,SSM
Aero Africa,255,170,50,140,RFO
Aero Airline,255,80,110,230,ILX
Aero Airlines,255,40,0,240,EAY
Aero Albatros [Mexico],255,0,110,10,ALB
Aero Albatros [Spain],255,0,10,120,ABM
Aero Algarve,255,30,180,100,DSK
Aero Asia International,255,170,180,140,RSO
Aero Astra,255,140,180,0,OSA
Aero Attie,255,190,190,80,TTI
Aero Aviation Centre,255,0,0,30,AAD
Aero Banobras,255,10,130,10,BNB
Aero Barloz,255,10,110,250,BLZ
Aero Benin,255,0,40,10,AEB
Aero California,255,180,40,170,SER
Aero Campeche,255,20,150,20,CPC
Aero Caribbean,255,20,170,130,CRN
Aero Centro,255,130,180,140,NTO
Aero Charter & Transport,255,20,190,0,CTA
Aero Charter DarTa,255,30,170,190,DRT
Aero Chombo,255,20,70,120,CHM
Aero Citro,255,80,190,140,ITO
Aero Club de Portugal,255,20,110,150,CLP
Aero Clube de Algarve,255,20,60,210,CGV
Aero Coach Aviation International,255,30,50,0,DFA
Aero Continente,255,0,20,160,ACQ
Aero Continente Dominicana,255,20,130,30,CND
Aero Contractors Company of Nigeria,255,130,80,60,NIG
Aero Control Air,255,110,50,20,LFC
Aero Costa Sol,255,20,180,60,CSG
Aero Davinci Internacional,255,30,210,80,DVI
Aero Dynamics,255,0,20,110,ACL
Aero Dynamics [United Kingdom],255,0,30,110,ADL
Aero Dynamics [United States of America],255,30,240,130,DYN
Aero Ejecutivo de Baja California,255,40,10,20,EBC
Aero Ejecutivos,255,210,40,90,VEJ
Aero Ejecutivos RCG,255,40,20,60,ECG
Aero Empresa Mexicana,255,0,50,140,AFO
Aero Empresarial,255,40,150,40,EPE
Aero Entreprise,255,0,140,130,AON
Aero Ermes,255,40,140,120,EOM
Aero Express Del Ecuador Trans AM,255,170,190,120,RTM
Aero Express Intercontinental,255,230,180,180,XSS
Aero Fe,255,170,50,40,RFE
Aero Flight Service,255,0,60,240,AGY
Aero Honduras,255,70,140,130,HON
Aero Industries,255,220,0,10,WAB
Aero Internacional,255,80,130,0,INA
Aero Jet,255,0,140,90,AOJ
Aero Jet Express,255,0,90,40,AJE
Aero Jets Corporativos,255,0,90,150,AJP
Aero Jomacha,255,120,70,20,MHC
Aero Juarez,255,90,200,0,JUA
Aero Lider,255,110,30,170,LDR
Aero Lloyd,255,0,240,150,AYP
Aero Lloyd,255,0,40,50,AEF
Aero Madrid,255,0,40,120,AEM
Aero Monbasa,255,0,100,50,AKF
Aero Mongolia,255,120,130,60,MNG
Aero Nova,255,140,210,0,OVA
Aero Occidental,255,30,190,110,DTL
Aero Personal,255,150,130,110,PNL
Aero Premier de Mexico,255,120,80,40,MIE
