Large Tower 1a, {9D4A2F38-BCB7-4124-8DE2-B2811D962858}
Large Tower 1b, {87D440F0-DCFB-42A3-9504-61CEE8607FCD}
Large Tower 2, {87D440F0-DCFB-42A3-9504-61CEE8607FCD}
Large Tower 3, {4A841B6D-4E56-412C-8B70-AA4867C72C21}
Medium Tower 1, {38D99426-A14E-4974-93BE-59436C10E8B1}
Medium Tower 2, {604B317E-3938-4A34-B50A-DC16324BAF0F}
Medium Tower 3, {F3509EA4-5817-46A5-9CD3-EDA3C449F25C}
Medium Tower 4, {DC6A2ADA-3104-4FBC-9030-5B58906C3834}
Small Tower 1, {7E6CEEF0-7FF4-4738-898F-293E4A5FEDB6}
Small Tower 2, {C29B0F6F-9365-4448-B049-4B3D78ABE798}
Temporary Control Tower, {6C07357F-286B-417E-894E-764BA7B82A9B}
